146 , 365.230865 , 5.357513 , 30, 157 , 332 ;
147 , 364.362305 , 6.055555 , 32, 166 , 410 ;
157 , 366.417664 , 6.812808 , 30, 183 , 332 ;
162 , 366.288788 , 6.245536 , 28, 186 , 282 ;
171 , 361.300079 , 6.283186 , 28, 183 , 302 ;
171 , 370.166138 , 5.626214 , 29, 167 , 301 ;
177 , 366.523895 , 6.147321 , 28, 181 , 288 ;
177 , 367.342621 , 5.707071 , 30, 163 , 330 ;
178 , 363.841675 , 6.176471 , 30, 172 , 334 ;
178 , 368.504456 , 5.303738 , 28, 168 , 284 ;
181 , 370.302094 , 5.429224 , 28, 169 , 298 ;
182 , 364.368256 , 6.155251 , 28, 188 , 294 ;
185 , 368.710480 , 6.228814 , 26, 196 , 244 ;
189 , 365.004089 , 5.633880 , 32, 155 , 380 ;
191 , 362.813416 , 5.940299 , 30, 165 , 334 ;
191 , 367.389465 , 5.974359 , 30, 167 , 350 ;
192 , 366.203949 , 5.814815 , 28, 178 , 280 ;
192 , 375.601196 , 6.013637 , 28, 184 , 298 ;
196 , 366.927612 , 6.208738 , 30, 173 , 348 ;
199 , 370.726562 , 6.050926 , 28, 186 , 280 ;
202 , 366.497192 , 5.709091 , 28, 176 , 308 ;
206 , 362.412689 , 5.456410 , 30, 157 , 322 ;
209 , 363.120331 , 6.069445 , 28, 185 , 278 ;
212 , 366.171814 , 6.470874 , 30, 175 , 330 ;
212 , 367.913727 , 6.218750 , 29, 183 , 345 ;
213 , 365.850677 , 6.376744 , 29, 180 , 321 ;
213 , 365.236206 , 6.086735 , 30, 170 , 328 ;
214 , 371.047150 , 5.300000 , 30, 159 , 332 ;
215 , 362.671509 , 5.758621 , 29, 181 , 315 ;
215 , 370.793640 , 6.189054 , 30, 166 , 316 ;
216 , 367.835938 , 5.893939 , 29, 166 , 295 ;
216 , 367.520691 , 6.222727 , 30, 181 , 360 ;
216 , 374.410919 , 6.625000 , 29, 184 , 307 ;
219 , 370.494385 , 5.670051 , 30, 164 , 326 ;
219 , 366.387329 , 6.152778 , 29, 180 , 345 ;
219 , 366.957306 , 5.670000 , 29, 168 , 319 ;
221 , 365.925385 , 5.640187 , 28, 173 , 284 ;
221 , 375.734772 , 5.718232 , 31, 159 , 343 ;
221 , 368.215302 , 6.290749 , 28, 189 , 284 ;
222 , 369.460236 , 5.874494 , 26, 190 , 268 ;
223 , 359.695435 , 5.374408 , 29, 168 , 309 ;
223 , 362.677429 , 5.977579 , 28, 182 , 284 ;
223 , 365.802582 , 6.275862 , 30, 176 , 380 ;
224 , 363.106659 , 4.847953 , 32, 140 , 372 ;
225 , 369.451904 , 5.480952 , 28, 170 , 272 ;
