8 , 4.987884 , 7.821429 , 25, 4.000000 , 3.079763, 1.133116 ;
0 , 1.148062 , 7.577670 , 25, 3.678571 , 3.458192, 0.916246 ;
4 , 4.530319 , 7.604348 , 23, 3.965517 , 2.828302, 0.831479 ;
3 , 1.449095 , 7.668342 , 27, 3.685185 , 3.792024, 1.333333 ;
0 , 0.555047 , 7.995370 , 26, 3.927273 , 3.980892, 1.099944 ;
4 , 0.941072 , 7.379310 , 26, 3.690909 , 3.193696, 0.993808 ;
0 , 1.222057 , 7.603865 , 26, 3.763636 , 3.344703, 0.993808 ;
1 , 1.228055 , 7.601896 , 24, 3.701754 , 2.875460, 0.666667 ;
5 , 1.023059 , 7.291262 , 25, 3.678571 , 3.276624, 0.785674 ;
0 , 0.932061 , 7.700934 , 24, 3.754386 , 2.701543, 0.942809 ;
4 , 0.896118 , 7.535885 , 26, 3.800000 , 2.605726, 1.196703 ;
0 , 0.401004 , 4.857143 , 35, 2.130435 , 2.727651, 0.566558 ;
7 , 1.176184 , 6.846535 , 25, 3.607143 , 1.460019, 0.628539 ;
0 , 0.967047 , 7.848624 , 25, 3.892857 , 3.974646, 1.030402 ;
1 , 0.846102 , 7.686636 , 24, 3.807018 , 3.642735, 0.666667 ;
0 , 0.826066 , 7.620690 , 26, 3.690909 , 3.396591, 1.286204 ;
5 , 1.046088 , 7.310679 , 25, 3.678571 , 2.731134, 1.133116 ;
9 , 9.280540 , 8.292237 , 26, 3.981818 , 3.566216, 1.662959 ;
4 , 1.176224 , 8.519824 , 26, 4.127273 , 4.314927, 1.662959 ;
8 , 3.999240 , 8.409692 , 25, 4.053571 , 3.296633, 1.547599 ;
6 , 4.831162 , 8.219178 , 26, 3.981818 , 3.238568, 1.662959 ;
5 , 5.912002 , 8.342592 , 27, 4.000000 , 3.823021, 1.825742 ;
1 , 0.315121 , 7.241025 , 26, 3.545455 , 3.476715, 0.737028 ;
0 , 1.156069 , 8.009174 , 25, 3.892857 , 3.240199, 1.133115 ;
3 , 0.958109 , 7.047619 , 27, 3.500000 , 3.397049, 0.816497 ;
4 , 1.378110 , 8.127854 , 26, 3.981818 , 3.785256, 1.448712 ;
9 , 3.788821 , 8.094595 , 26, 4.036364 , 3.317410, 1.523479 ;
0 , 0.477016 , 5.330189 , 34, 2.255319 , 3.921855, 0.785674 ;
0 , 0.994059 , 7.510101 , 27, 3.666667 , 2.701543, 1.333333 ;
3 , 1.248069 , 7.362745 , 26, 3.709091 , 2.724644, 0.737028 ;
1 , 0.686086 , 7.702830 , 25, 3.785714 , 3.158300, 1.314685 ;
5 , 0.817058 , 7.423077 , 26, 3.781818 , 3.396591, 0.993808 ;
4 , 1.009103 , 7.108247 , 26, 3.527273 , 3.268296, 0.737028 ;
0 , 0.949053 , 7.541063 , 26, 3.763636 , 3.130434, 0.993808 ;
1 , 0.885078 , 7.778846 , 26, 3.781818 , 3.238568, 1.448712 ;
3 , 0.638078 , 7.668224 , 25, 3.821429 , 3.233474, 1.396645 ;
0 , 1.035055 , 7.650486 , 26, 3.745455 , 2.808621, 1.196703 ;
0 , 0.659056 , 7.386138 , 26, 3.672727 , 2.981787, 0.737028 ;
0 , 0.837065 , 7.531100 , 25, 3.732143 , 2.965607, 0.916246 ;
3 , 1.277062 , 7.462687 , 27, 3.722222 , 3.203923, 1.247219 ;
0 , 0.880043 , 7.400000 , 27, 3.703704 , 3.368781, 0.816497 ;
2 , 0.842042 , 7.478873 , 24, 3.736842 , 3.250018, 0.816497 ;
0 , 0.957082 , 9.538961 , 17, 4.812500 , 2.297393, 0.874890 ;
0 , 0.752054 , 7.850679 , 24, 3.877193 , 3.151602, 0.942809 ;
1 , 0.660055 , 7.577670 , 26, 3.745455 , 3.639223, 0.874890 ;
0 , 1.072055 , 7.415000 , 26, 3.636364 , 3.820126, 0.874890 ;
7 , 1.758390 , 7.632743 , 25, 4.035714 , 2.173324, 0.785674 ;
3 , 1.400140 , 6.909575 , 27, 3.481482 , 3.092639, 0.942809 ;
2 , 1.341095 , 7.593458 , 25, 3.821429 , 3.043339, 0.916246 ;
1 , 1.144076 , 8.069565 , 24, 4.035088 , 3.050994, 1.414214 ;
8 , 2.438336 , 7.033493 , 25, 3.732143 , 1.829953, 0.628539 ;
0 , 1.007059 , 7.475728 , 26, 3.745455 , 3.193695, 1.196703 ;
0 , 0.102015 , 5.309091 , 33, 2.291667 , 3.487614, 0.471405 ;
5 , 0.856141 , 7.797235 , 25, 3.875000 , 4.026014, 0.916246 ;
1 , 2.039074 , 7.963303 , 26, 3.963636 , 3.637793, 1.369870 ;
0 , 1.230061 , 7.930555 , 25, 3.857143 , 3.523417, 1.133116 ;
0 , 0.601055 , 7.275510 , 27, 3.629630 , 3.753500, 0.942809 ;
1 , 1.062081 , 7.789720 , 25, 3.821429 , 3.146052, 1.030402 ;
0 , 1.055064 , 7.591133 , 26, 3.690909 , 3.560381, 0.874890 ;
9 , 1.617150 , 8.914729 , 23, 4.448276 , 3.396427, 1.640536 ;
2 , 0.365067 , 7.520000 , 26, 3.636364 , 3.530964, 0.874890 ;
0 , 0.982064 , 7.512691 , 27, 3.648148 , 3.006525, 1.247219 ;
0 , 1.073064 , 8.192825 , 25, 3.982143 , 3.364046, 1.314685 ;
0 , 0.644027 , 5.299066 , 35, 2.326087 , 2.638151, 0.737028 ;
3 , 0.349110 , 7.132653 , 26, 3.563636 , 2.862506, 0.737028 ;
5 , 1.377116 , 6.876847 , 26, 3.690909 , 1.699673, 0.874890 ;
1 , 1.042052 , 7.417086 , 27, 3.685185 , 3.304530, 0.942809 ;
0 , 0.830059 , 7.898058 , 26, 3.745455 , 3.839683, 0.993808 ;
0 , 0.978056 , 7.954955 , 24, 3.894737 , 3.025290, 0.942809 ;
7 , 2.480472 , 7.216590 , 24, 3.807018 , 2.385290, 0.942809 ;
0 , 0.828077 , 7.165854 , 25, 3.660714 , 3.229136, 0.628539 ;
0 , 0.627029 , 5.731707 , 33, 2.562500 , 3.723615, 0.816497 ;
7 , 6.385023 , 7.554585 , 23, 3.948276 , 2.159863, 0.955814 ;
1 , 0.884046 , 7.392857 , 27, 3.629630 , 3.563472, 0.942809 ;
1 , 0.805192 , 7.556604 , 25, 3.785714 , 3.390780, 1.030402 ;
1 , 0.411125 , 8.157408 , 26, 3.927273 , 3.863206, 1.369870 ;
0 , 1.018052 , 7.725119 , 25, 3.767857 , 3.446006, 0.916246 ;
0 , 1.020060 , 7.823529 , 24, 3.877193 , 3.913886, 0.816497 ;
1 , 1.078058 , 7.357843 , 25, 3.642857 , 3.375489, 0.785674 ;
5 , 4.224576 , 7.705628 , 24, 4.052631 , 1.885618, 0.666667 ;
0 , 1.171060 , 8.074419 , 25, 3.839286 , 3.162587, 1.133116 ;
0 , 1.000071 , 7.710900 , 26, 3.836364 , 3.763276, 0.993808 ;
