0.999200 ; 0.651700 ; 1.840381 ; 6.135514
2.598000 ; 1.154700 ; 4.579166 ; 5.809524
1.097900 ; 0.760100 ; 1.939379 ; 5.774648
1.353500 ; 0.846000 ; 1.653720 ; 6.446078
1.116900 ; 0.613200 ; 1.508759 ; 5.338461
1.684700 ; 0.982700 ; 1.729235 ; 6.247787
1.177700 ; 0.841200 ; 1.592244 ; 7.063063
1.450900 ; 0.946200 ; 2.240435 ; 6.813131
1.658000 ; 1.160600 ; 2.804173 ; 6.023585
0.904900 ; 0.678700 ; 1.619487 ; 6.138393
1.354000 ; 0.781200 ; 1.620657 ; 5.708134
1.572600 ; 0.823700 ; 1.939182 ; 5.916667
1.111000 ; 0.787000 ; 1.745896 ; 5.994898
1.322300 ; 0.771300 ; 1.765170 ; 5.954315
0.936900 ; 0.663600 ; 1.976233 ; 6.638393
1.152000 ; 0.864000 ; 1.679512 ; 6.511312
1.033600 ; 0.602900 ; 1.586614 ; 5.808824
1.364600 ; 0.909700 ; 1.872190 ; 6.195745
1.347700 ; 0.898500 ; 1.747871 ; 6.115741
1.185500 ; 0.650100 ; 1.541517 ; 5.923077
1.192700 ; 0.759000 ; 1.730770 ; 5.855721
1.217200 ; 0.695500 ; 1.560123 ; 6.603448
1.086600 ; 0.710500 ; 1.638176 ; 6.631179
1.227200 ; 0.859100 ; 1.575279 ; 5.531401
1.009100 ; 0.645800 ; 1.584137 ; 5.929245
1.196700 ; 0.670200 ; 1.904417 ; 5.916667
1.273700 ; 0.891600 ; 1.754222 ; 5.517544
0.976000 ; 0.679000 ; 1.897063 ; 5.959821
1.614500 ; 0.880600 ; 1.793719 ; 5.440414
1.079900 ; 0.751200 ; 1.628011 ; 5.894273
0.948200 ; 0.689600 ; 1.845897 ; 6.312757
1.069100 ; 0.630500 ; 1.748592 ; 5.179487
1.278900 ; 0.778500 ; 1.681297 ; 5.774648
1.001100 ; 0.700800 ; 1.491878 ; 6.124424
1.024700 ; 0.819700 ; 1.698262 ; 6.084507
1.206500 ; 0.822600 ; 1.744194 ; 6.029412
1.454900 ; 0.859700 ; 1.670266 ; 6.099138
1.053500 ; 0.684800 ; 1.900102 ; 5.902655
1.758500 ; 0.820600 ; 1.656060 ; 6.034782
1.411300 ; 0.730000 ; 1.544473 ; 6.228724
1.234000 ; 0.785300 ; 1.915676 ; 6.075949
0.999500 ; 0.631300 ; 1.861964 ; 5.940639
1.925000 ; 1.004400 ; 1.637674 ; 6.073394
1.838100 ; 1.148800 ; 1.721159 ; 7.054167
0.980000 ; 0.700000 ; 1.828985 ; 6.433884
1.177800 ; 0.741600 ; 1.729820 ; 6.327273
0.837100 ; 0.677700 ; 1.640379 ; 6.380753
1.686400 ; 0.908100 ; 3.044758 ; 5.624365
1.033200 ; 0.798400 ; 1.716229 ; 6.297521
0.950600 ; 0.734500 ; 1.983944 ; 5.187845
1.120500 ; 0.800300 ; 1.826790 ; 6.518072
1.261400 ; 0.727700 ; 1.810517 ; 6.395745
1.109600 ; 0.647300 ; 1.678319 ; 6.126316
1.002500 ; 0.578300 ; 1.858819 ; 6.139535
1.702900 ; 0.973100 ; 1.873945 ; 5.598985
1.221000 ; 0.653100 ; 1.636588 ; 5.730769
1.956700 ; 0.717400 ; 2.240454 ; 6.230769
1.164100 ; 0.796500 ; 1.780660 ; 5.638009
1.194700 ; 0.610600 ; 1.662798 ; 5.772277
1.118500 ; 0.792300 ; 1.802410 ; 5.902326
1.068000 ; 0.747600 ; 1.743525 ; 6.204545
1.219800 ; 0.645800 ; 1.753189 ; 5.630542
1.966000 ; 1.014700 ; 1.841300 ; 6.013825
1.003200 ; 0.697900 ; 1.586926 ; 5.544117
0.846000 ; 0.576800 ; 1.597288 ; 6.317307
1.229100 ; 0.864900 ; 1.850964 ; 6.105991
