0.570300 ; 1.333817 ; 6.451163 ; 187 ; 282
0.578500 ; 1.333937 ; 5.807340 ; 180 ; 286
0.690000 ; 1.329939 ; 6.223881 ; 177 ; 328
0.692000 ; 1.330324 ; 5.940299 ; 165 ; 334
0.696600 ; 1.336131 ; 5.842364 ; 167 ; 326
0.707100 ; 1.333644 ; 6.320176 ; 194 ; 294
0.708100 ; 1.334097 ; 6.361502 ; 183 ; 344
0.715400 ; 1.336484 ; 6.264706 ; 170 ; 340
0.726200 ; 1.333948 ; 6.324201 ; 188 ; 288
0.738900 ; 1.330733 ; 5.671795 ; 166 ; 320
0.743300 ; 1.330724 ; 6.069445 ; 185 ; 278
0.752600 ; 1.335495 ; 6.907080 ; 194 ; 296
0.756300 ; 1.330888 ; 5.527638 ; 162 ; 316
0.797500 ; 1.335419 ; 6.042056 ; 176 ; 278
0.803000 ; 1.332397 ; 6.530864 ; 201 ; 252
0.808200 ; 1.333077 ; 5.633333 ; 176 ; 288
0.814100 ; 1.335401 ; 5.542857 ; 174 ; 276
0.826900 ; 1.334171 ; 6.050926 ; 186 ; 280
0.828200 ; 1.331448 ; 5.609091 ; 176 ; 292
0.828800 ; 1.332285 ; 6.041841 ; 192 ; 246
0.833000 ; 1.330927 ; 5.534883 ; 171 ; 274
0.836000 ; 1.332522 ; 5.586592 ; 157 ; 328
0.837100 ; 1.333828 ; 6.380753 ; 200 ; 293
0.846000 ; 1.334864 ; 6.317307 ; 180 ; 326
0.850300 ; 1.329916 ; 5.625616 ; 164 ; 344
0.853700 ; 1.332025 ; 5.549763 ; 172 ; 276
0.858500 ; 1.330899 ; 5.400922 ; 174 ; 298
0.864800 ; 1.331523 ; 5.815166 ; 176 ; 290
0.871000 ; 1.337015 ; 6.372449 ; 167 ; 353
0.887600 ; 1.330391 ; 5.779817 ; 173 ; 294
0.887600 ; 1.335124 ; 6.954918 ; 208 ; 238
0.899800 ; 1.333106 ; 5.921488 ; 195 ; 254
0.901000 ; 1.331293 ; 5.924107 ; 184 ; 290
0.904900 ; 1.333178 ; 6.138393 ; 186 ; 294
0.919500 ; 1.330452 ; 5.595349 ; 174 ; 296
0.936900 ; 1.337142 ; 6.638393 ; 192 ; 284
0.938400 ; 1.334654 ; 6.800000 ; 194 ; 290
0.944000 ; 1.332733 ; 6.237864 ; 172 ; 340
0.948200 ; 1.335465 ; 6.312757 ; 202 ; 266
0.950600 ; 1.332631 ; 5.187845 ; 154 ; 341
0.955000 ; 1.335956 ; 6.642276 ; 206 ; 248
0.956200 ; 1.333220 ; 6.168182 ; 181 ; 327
0.957700 ; 1.330002 ; 5.762791 ; 171 ; 298
0.961200 ; 1.334439 ; 6.799197 ; 209 ; 260
0.961300 ; 1.330161 ; 5.338308 ; 156 ; 342
0.965000 ; 1.333013 ; 6.453333 ; 193 ; 290
0.976000 ; 1.332305 ; 5.959821 ; 189 ; 257
